FID,nombre,cod_depend,cod_tramo,cod_tipo_d,cod_estado,id_gestor,cod_munici,direccion,codigo_pos,cod_titula,utm_x,utm_y,v_desde,id_provinc,prec_geom,dependenci,dependen_1,dependen_2,dependen_3,dependen_4,dependen_5,dependen_6,dependen_7,dependen_8,dependen_9,geom
Dependencias.2230,CASAR DE PERIEDO,05631,087700120,E,EX,AE,390128,,39591,AD,404773.9788,4799117.4593,16,39,0,AE,E,EX,39,390128,39591,AD,087700120,CASAR DE PERIEDO,0,POINT (404773.9787999997 4799117.4593)
Dependencias.2231,CASTREJON DE LA PEÑA,05750,087900070,P,EX,AE,340493,,34850,AD,369025.129,4741194.9359,16,34,0,AE,P,EX,34,340493,34850,AD,087900070,CASTREJON DE LA PEÑA,0,POINT (369025.1289999997 4741194.935900001)
Dependencias.2232,CAUDALIA,05371,087640050,P,EX,AE,330371,,33600,AD,274004.9825,4789913.0819,16,33,0,AE,P,EX,33,330371,33600,AD,087640050,CAUDALIA,0,POINT (274004.9824999999 4789913.081900001)
Dependencias.2233,CAZOÑA,05603,087700140,P,EX,AE,390759,,39011,AD,431984.7751,4811649.3552,16,39,0,AE,P,EX,39,390759,39011,AD,087700140,CAZOÑA,0,POINT (431984.7751000002 4811649.3552)
Dependencias.2234,CECEDA,05527,087700050,P,EX,AE,330404,,33520,AD,301369.2938,4803283.3494,16,33,0,AE,P,EX,33,330404,33520,AD,087700050,CECEDA,0,POINT (301369.2938000001 4803283.349400001)
Dependencias.2235,CECEÑAS,05667,087720020,P,EX,AE,390422,,39724,AD,441833.0687,4802880.504,16,39,0,AE,P,EX,39,390422,39724,AD,087720020,CECEÑAS,0,POINT (441833.0686999997 4802880.504000001)
Dependencias.2236,CELORIO,05567,087700090,P,EX,AE,330365,,33500,AD,353385.1731,4809579.7733,16,33,0,AE,P,EX,33,330365,33500,AD,087700090,CELORIO,0,POINT (353385.17310000025 4809579.7733)
Dependencias.2237,CENTRO DE TRASPORTES,05204,087500055,P,EX,AE,330241,,33211,AD,281289.8746,4823355.3177,16,33,0,AE,P,EX,33,330241,33211,AD,087500055,CENTRO DE TRASPORTES,0,POINT (281289.87459999975 4823355.3177000005)
Dependencias.2238,CERDIDO,05127,087400030,E,EX,AE,150490,,15564,AD,101623.1396,4837853.135,16,15,0,AE,E,EX,15,150490,15564,AD,087400030,CERDIDO,0,POINT (101623.13960000034 4837853.135)
Dependencias.2239,CEREAL DE LA GUZPEÑA,05799,087900050,P,EX,AE,241187,,24893,AD,335938.5228,4738315.2724,16,24,0,AE,P,EX,24,241187,24893,AD,087900050,CEREZAL DE LA GUZPEÑA,0,POINT (335938.5228000004 4738315.272399999)
Dependencias.2240,CIAÑO ESCOBIO,05431,087520075,P,EX,AE,330609,,33950,AD,283576.137,4796563.1482,16,33,0,AE,P,EX,33,330609,33950,AD,087520075,CIAÑO ESCOBIO,0,POINT (283576.1370000001 4796563.1482)
Dependencias.2241,CICERO,05681,087800050,P,EX,AE,390092,,39790,AD,460302.3205,4807236.0698,16,39,0,AE,P,EX,39,390092,39790,AD,087800050,CICERO,0,POINT (460302.3205000004 4807236.069800001)
Dependencias.2242,CILLAMAYOR,05747,087900070,P,EX,AE,340278,,34820,AD,395504.3357,4745798.2139,16,34,0,AE,P,EX,34,340278,34820,AD,087900070,CILLAMAYOR,0,POINT (395504.3356999997 4745798.2139)
Dependencias.2243,CISTIERNA,05761,087900040,E,EX,AE,240567,,24800,AD,325757.7706,4741158.9993,16,24,0,AE,E,EX,24,240567,24800,AD,087900040,CISTIERNA,0,POINT (325757.7706000004 4741158.999299999)
Dependencias.2244,COLEGIO,05477,087900110,P,EX,AE,480963,,48860,AD,488735.1044,4784239.4056,16,48,0,AE,P,EX,48,480963,48860,AD,087900110,COLEGIO,0,POINT (488735.1043999996 4784239.4056)
Dependencias.2245,COLLANZO,05389,087640070,E,EX,AE,330024,,33680,AD,291240.3476,4777793.9868,16,33,0,AE,E,EX,33,330024,33680,AD,087640070,COLLANZO,0,POINT (291240.3476 4777793.9868)
Dependencias.2246,LA CALZADA,05485,087900090,P,EX,AE,480904,,48800,AD,483951.1094,4781932.3311,16,48,0,AE,P,EX,48,480904,48800,AD,087900090,LA CALZADA,0,POINT (483951.1094000004 4781932.3311)
Dependencias.2247,LA CANTABRICA,05658,087800030,P,EX,AE,390089,,39610,AD,433993.9189,4805308.9988,16,39,0,AE,P,EX,39,390089,39610,AD,087800030,LA CANTABRICA,0,POINT (433993.91889999993 4805308.9988)
Dependencias.2248,LA CARIDAD,05291,087400090,P,EX,AE,330236,,33750,AD,190799.2293,4828696.6288,16,33,0,AE,P,EX,33,330236,33750,AD,087400090,LA CARIDAD,0,POINT (190799.22929999977 4828696.628799999)
Dependencias.2249,LA CARRERA DE SIERO,05511,087700020,P,EX,AE,330668,,33510,AD,283305.0827,4807265.4122,16,33,0,AE,P,EX,33,330668,33510,AD,087700020,LA CARRERA DE SIERO,0,POINT (283305.08270000014 4807265.4122)
Dependencias.2250,LA CAVADA,05669,087720020,P,EX,AE,390648,,39720,AD,442679.9299,4799963.3947,16,39,0,AE,P,EX,39,390648,39720,AD,087720020,LA CAVADA,0,POINT (442679.9298999999 4799963.3947)
Dependencias.2251,LA DEVESA,05798,087900040,P,EX,AE,241993,,24152,AD,311799.4337,4743408.5434,16,24,0,AE,P,EX,24,241993,24152,AD,087900040,LA DEVESA,0,POINT (311799.43369999994 4743408.543400001)
Dependencias.2252,LA ERCINA,05763,087900040,E,EX,AE,240687,,24870,AD,318982.6373,4741972.2996,16,24,0,AE,E,EX,24,240687,24870,AD,087900040,LA ERCINA,0,POINT (318982.6372999996 4741972.2996)
Dependencias.2253,LA ESPERANZA,05961,083600010,P,EX,AE,300413,,30360,AD,686107.1371,4165058.0234,16,30,0,AE,P,EX,30,300413,30360,AD,083600010,LA ESPERANZA,0,POINT (686107.1370999999 4165058.0233999994)
Dependencias.2254,LA ESPINA,05756,087900050,E,EX,AE,241839,,24882,AD,344159.5343,4738902.9985,16,24,0,AE,E,EX,24,241839,24882,AD,087900050,LA ESPINA,0,POINT (344159.5343000004 4738902.998500001)
Dependencias.2255,LA FELGUERA VEGA,05425,087520060,F,FS,AP,330313,,33930,AD,282188.0336,4798784.2297,16,33,0,AP,F,FS,33,330313,33930,AD,087520060,LA FELGUERA VEGA,0,POINT (282188.03359999973 4798784.229699999)
Dependencias.2256,LA FLORIDA,05411,087520020,E,EX,AE,330668,,33510,AD,280668.8012,4812662.8278,16,33,0,AE,E,EX,33,330668,33510,AD,087520020,LA FLORIDA,0,POINT (280668.80119999964 4812662.8278)
Dependencias.2257,LA HERRERA,05481,087900110,P,EX,AE,480963,,48860,AD,486148.0573,4783407.2788,16,48,0,AE,P,EX,48,480963,48860,AD,087900110,LA HERRERA,0,POINT (486148.05730000045 4783407.2787999995)
Dependencias.2258,LA LLAMA DE LA GUZPEÑA,05755,087900050,P,EX,AE,241187,,24893,AD,332993.5486,4737312.1476,16,24,0,AE,P,EX,24,241187,24893,AD,087900050,LA LLAMA DE LA GUZPEÑA,0,POINT (332993.54860000033 4737312.147600001)
Dependencias.2259,LA LOSILLA,05765,087900040,P,EX,AE,241993,,24860,AD,310549.3963,4745493.2762,16,24,0,AE,P,EX,24,241993,24860,AD,087900040,LA LOSILLA,0,POINT (310549.39630000014 4745493.2762)
